"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"Mississippi",3.683,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.883,0,0,0,0,0,0,0,0
"Missouri",0,0,0,5.383,0,0,0,0,0,0,0,0,0,4.267,0,5.25,5.8,7.367,0,0,0,0,0,0,0,0,0,8.583,0,0,0,0,0,0,0,0,5.917,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0
"Montana",0,0,0,0,0,0,0,0,0,0,0,0,8.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,6.65
"Nebraska",0,0,0,0,0,6.833,0,0,0,0,0,0,0,0,0,6.2,4.533,0,0,0,0,0,0,0,0,8.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,7.933
"Nevada",0,0,12.017,0,8.95,0,0,0,0,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.383,0,0,0,0,0,0,6.133,0,0,0,0,0,0
"New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.667,0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067,0,0,0,0,0
"New Jersey",0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,3.617,0,0,0,0,0,0,0,0,0,0,0,0
"New Mexico",0,0,9.45,0,0,6.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,0,0,0,0,0,8.483,10.717,0,0,0,0,0,0
"New York",0,0,0,0,0,0,3.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,4.567,0,0,0,0,0,0,4.633,0,0,0,0,0
"North Carolina",0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.167,0,7.867,0,0,0,3.15,0,0,0,0
"North Dakota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.883,0,0,0,0,0,0,0,0,0
"Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.633,0,0,4.683,0,0,0,0,5.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,4.35,0,0
"Oklahoma",0,0,0,4.983,0,10.283,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5.917,0,0,0,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,5.283,0,0,0,0,0,0,0
